practice,city,state,zip,consolidator,investor
VEG Chandler,Chandler,AZ,85226,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Chino Valley Animal Hospital,Chino Valley,AZ,86323,Suveto,Levine Leichtman Capital
Circle L Animal Hospital,Chino Valley,AZ,86323,Western Veterinary Partners,Tyree & D'Angelo Partners
Coolidge Veterinary Hospital,Coolidge,AZ,85128,Hippo Vet Group,DFW & Avante Capital Partners
Verde Veterinary Hospital,Cottonwood,AZ,86326,NVA,JAB Holdings
Kaibab Veterinary Clinic,Flagstaff,AZ,86001,VetCor,Harvest Partners
El Dorado Animal Hospital,Fountain Hills,AZ,85268,Western Veterinary Partners,Tyree & D'Angelo Partners
Arizona Veterinary Dental Specialists - Gilbert,Gilbert,AZ,85233,Thrive Pet Healthcare,TSG Consumer Partners
Arizona Veterinary Emergency and Critical Care Center – Gilbert,Gilbert,AZ,85233,Ethos Veterinary Health,JAB Holdings
Banfield Gilbert E,Gilbert,AZ,85212,Banfield,Mars
Banfield Gilbert-City Gate,Gilbert,AZ,85234,Banfield,Mars
Crossroads Veterinary Hospital,Gilbert,AZ,85297,PetVet Care Centers,KKR
Dermatology for Animals - Gilbert,Gilbert,AZ,85233,Thrive Pet Healthcare,TSG Consumer Partners
Eye Care for Animals - Gilbert,Gilbert,AZ,85233,Thrive Pet Healthcare,TSG Consumer Partners
GoodVets Gilbert,Gilbert,AZ,85295,GoodVets,General Atlantic
Hippo Vet Group Gilbert (coming soon),Gilbert,AZ,85297,Hippo Vet Group,DFW & Avante Capital Partners
Little Critters Veterinary Hospital,Gilbert,AZ,85234,Western Veterinary Partners,Tyree & D'Angelo Partners
PetCure Oncology Phoenix,Gilbert,AZ,85233,Thrive Pet Healthcare,TSG Consumer Partners
Prestige Animal Clinic,Gilbert,AZ,85233,NVA,JAB Holdings
Seville Veterinary Hospital,Gilbert,AZ,85298,NVA,JAB Holdings
Val Vista Animal Hospital,Gilbert,AZ,85234,Mission Pet Health,Silver Lake and Shore Capital Partners
Val Vista Animal Hospital,Gilbert,AZ,85234,Mission Pet Health,Silver Lake and Shore Capital Partners
Vetco Total Care - Gilbert,Gilbert,AZ,85296,Vetco Total Care,Petco
Acoma Animal Clinic,Glendale,AZ,85302,NVA,JAB Holdings
Acoma Grooming,Glendale,AZ,85302,NVA,JAB Holdings
Animal Medical Center of Deer Valley,Glendale,AZ,85310,NVA,JAB Holdings
Apollo Animal Hospital,Glendale,AZ,85304,NVA,JAB Holdings
Apollo North Animal Hospital,Glendale,AZ,85308,NVA,JAB Holdings
Arrowhead Ranch,Glendale,AZ,85310,Lovet Pet Health,The Aspen Group
Banfield Glendale,Glendale,AZ,85308,Banfield,Mars
Banfield Glendale Olive,Glendale,AZ,85302,Banfield,Mars
Banfield Peoria,Glendale,AZ,85301,Banfield,Mars
BluePearl Pet Hospital Peoria,Glendale,AZ,85308,BluePearl Pet Hospital,Mars
Desert Sky Animal Hospital,Glendale,AZ,85308,VetCor,Harvest Partners
GoodVets Glendale,Glendale,AZ,85308,GoodVets,General Atlantic
Happy Valley,Glendale,AZ,85310,Lovet Pet Health,The Aspen Group
Lovet Arrow,Glendale,AZ,85306,Lovet Pet Health,The Aspen Group
Lovet Beardsley,Glendale,AZ,85308,Lovet Pet Health,The Aspen Group
Sun Valley Hope Animal Hospital,Glendale,AZ,85301,VetCor,Harvest Partners
VEG ER for Pets,Glendale,AZ,85308,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
